country,x,y
Antigua y Barbuda,131,-103
Argentina,126,-396
Bahamas,45,-65
Barbados,142,-127
Belice,-16,-102
Bolivia,105,-280
Brasil,156,-247
Canada,-162,175
Chile,64,-342
Colombia,43,-179
Costa Rica,-6,-145
Cuba,20,-82
Dominica,128,-118
Ecuador,16,-207
El Salvador,-42,-131
USA,-104,27
GreenLand,231,326
Grenada,126,-133
Guatemala,-42,-116
Guyana,132,-167
Haiti,58,-98
Honduras,-5,-113
Jamaica,36,-102
Mexico,-107,-84
Nicaragua,-6,-130
Panama,20,-157
Paraguay,139,-311
Peru,43,-245
Republica Dominicana,79,-96
St Kitts & Nevis,121,-112
St Vincent and the Grenadines,134 -118
St Lucia,141,-114
Suriname,155,-180
Trinidad y Tobago,135,-141
Uruguay,174,-364
Venezuela,77,-154
